iter	Passed	Remaining
598	1217	814
599	1218	812
600	1220	810
601	1222	808
602	1224	805
603	1225	803
604	1227	801
605	1229	799
606	1231	797
607	1233	795
608	1235	793
609	1236	790
610	1238	788
611	1240	786
612	1242	784
613	1244	782
614	1246	780
615	1248	778
616	1250	776
617	1252	773
618	1253	771
619	1255	769
620	1257	767
621	1258	765
622	1261	763
623	1263	761
624	1265	759
625	1267	757
626	1269	754
627	1270	752
628	1272	750
629	1274	748
630	1276	746
631	1278	744
632	1280	742
633	1282	740
634	1284	738
635	1286	736
636	1288	734
637	1290	732
638	1292	730
639	1294	728
640	1296	726
641	1298	723
642	1299	721
643	1301	719
644	1303	717
645	1305	715
646	1307	713
647	1309	711
648	1311	709
649	1312	706
650	1314	704
651	1316	702
652	1318	700
653	1319	698
654	1321	696
655	1323	694
656	1325	691
657	1327	689
658	1328	687
659	1330	685
660	1331	683
661	1333	680
662	1335	678
663	1337	676
664	1339	674
665	1340	672
666	1342	670
667	1344	668
668	1345	665
669	1347	663
670	1349	661
671	1350	659
672	1352	657
673	1354	655
674	1356	653
675	1357	650
676	1359	648
677	1361	646
678	1362	644
679	1364	642
680	1366	640
681	1368	637
682	1369	635
683	1371	633
684	1373	631
685	1375	629
686	1376	627
687	1378	625
688	1380	623
689	1382	621
690	1384	618
691	1385	616
692	1387	614
693	1389	612
694	1391	610
695	1393	608
696	1394	606
697	1396	604
698	1398	602
699	1400	600
700	1401	597
701	1403	595
702	1405	593
703	1407	591
704	1408	589
705	1410	587
706	1412	585
707	1414	583
708	1416	581
709	1418	579
710	1419	577
711	1421	574
712	1423	572
713	1424	570
714	1426	568
715	1428	566
716	1430	564
717	1431	562
718	1433	560
719	1435	558
720	1436	555
721	1438	553
722	1439	551
723	1441	549
724	1443	547
725	1445	545
726	1447	543
727	1448	541
728	1450	539
729	1452	537
730	1454	535
731	1455	533
732	1457	531
733	1459	528
734	1461	526
735	1463	524
736	1464	522
737	1466	520
738	1468	518
739	1470	516
740	1472	514
741	1474	512
742	1476	510
743	1479	508
744	1481	507
745	1483	505
746	1485	503
747	1488	501
748	1490	499
749	1492	497
750	1494	495
751	1496	493
752	1498	491
753	1500	489
754	1502	487
755	1504	485
756	1506	483
757	1508	481
758	1510	479
759	1512	477
760	1514	475
761	1516	473
762	1519	471
